rmin OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
0 1.0 0.305 0.498 0.529 0.609 0.697 0.576 0.653
0.1 1.0 0.329 0.508 0.54 0.596 0.697 0.574 0.65
0.2 1.0 0.334 0.493 0.532 0.605 0.687 0.602 0.654
0.3 1.0 0.333 0.509 0.511 0.622 0.671 0.606 0.637
0.4 1.0 0.335 0.503 0.536 0.606 0.666 0.608 0.632
0.5 1.0 0.343 0.509 0.545 0.611 0.683 0.589 0.649
0.6 1.0 0.322 0.51 0.542 0.617 0.679 0.608 0.639
0.7 1.0 0.336 0.497 0.55 0.608 0.687 0.604 0.647
0.8 1.0 0.324 0.518 0.542 0.594 0.693 0.59 0.646
0.9 1.0 0.345 0.529 0.547 0.617 0.684 0.6 0.642
