rmin OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
0 1.0 0.324 0.484 0.581 0.664 0.728 0.645 0.704
0.1 1.0 0.314 0.469 0.577 0.662 0.742 0.636 0.713
0.2 1.0 0.33 0.46 0.569 0.649 0.72 0.645 0.693
0.3 1.0 0.291 0.497 0.571 0.651 0.729 0.653 0.7
0.4 1.0 0.316 0.476 0.56 0.637 0.715 0.636 0.686
0.5 1.0 0.338 0.502 0.577 0.63 0.726 0.614 0.7
0.6 1.0 0.301 0.472 0.55 0.65 0.717 0.632 0.688
0.7 1.0 0.319 0.473 0.538 0.663 0.707 0.655 0.68
0.8 1.0 0.345 0.471 0.559 0.643 0.72 0.631 0.692
0.9 1.0 0.362 0.496 0.574 0.642 0.695 0.632 0.672
