rmin OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
0 1.0 0.345 0.457 0.58 0.65 0.789 0.653 0.767
0.1 1.0 0.351 0.489 0.564 0.668 0.759 0.658 0.74
0.2 1.0 0.338 0.488 0.583 0.654 0.758 0.664 0.736
0.3 1.0 0.313 0.49 0.594 0.665 0.756 0.667 0.737
0.4 1.0 0.324 0.493 0.587 0.658 0.755 0.663 0.738
0.5 1.0 0.319 0.472 0.573 0.683 0.746 0.674 0.715
0.6 1.0 0.311 0.47 0.587 0.659 0.738 0.649 0.706
0.7 1.0 0.358 0.482 0.569 0.679 0.712 0.656 0.691
0.8 1.0 0.337 0.468 0.579 0.663 0.712 0.647 0.683
0.9 1.0 0.352 0.478 0.581 0.67 0.737 0.661 0.718
