sigma OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
1 1.0 0.325 0.515 0.586 0.643 0.737 0.632 0.706
2 1.0 0.333 0.487 0.592 0.63 0.75 0.624 0.72
3 1.0 0.307 0.483 0.581 0.643 0.728 0.64 0.702
4 1.0 0.334 0.479 0.549 0.656 0.748 0.652 0.723
5 1.0 0.331 0.472 0.578 0.667 0.756 0.648 0.726
6 1.0 0.327 0.485 0.601 0.648 0.745 0.631 0.718
7 1.0 0.313 0.439 0.593 0.653 0.762 0.658 0.733
8 1.0 0.292 0.448 0.584 0.62 0.751 0.614 0.72
9 1.0 0.299 0.509 0.576 0.666 0.761 0.676 0.729
10 1.0 0.318 0.466 0.59 0.625 0.74 0.625 0.706
