sigma OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
1 1.0 0.318 0.516 0.594 0.673 0.774 0.669 0.739
2 1.0 0.334 0.477 0.589 0.661 0.773 0.673 0.737
3 1.0 0.3 0.466 0.582 0.692 0.773 0.691 0.74
4 1.0 0.312 0.467 0.577 0.684 0.786 0.661 0.769
5 1.0 0.313 0.457 0.559 0.693 0.776 0.67 0.749
6 1.0 0.295 0.461 0.553 0.687 0.77 0.68 0.746
7 1.0 0.335 0.472 0.559 0.69 0.773 0.68 0.753
8 1.0 0.294 0.455 0.561 0.696 0.78 0.691 0.75
9 1.0 0.302 0.462 0.574 0.692 0.779 0.679 0.755
10 1.0 0.299 0.463 0.564 0.682 0.779 0.674 0.741
