sigma OFF RCP GRD BAT SAM1 SAM+ COL1 COL+
0.1 1.0 0.513 0.86 0.837 0.579 0.671 0.583 0.637
0.2 1.0 0.404 0.772 0.765 0.606 0.711 0.604 0.669
0.3 1.0 0.364 0.708 0.706 0.631 0.728 0.612 0.681
0.4 1.0 0.354 0.649 0.651 0.637 0.74 0.639 0.701
0.5 1.0 0.365 0.604 0.627 0.641 0.756 0.646 0.711
0.6 1.0 0.34 0.569 0.62 0.651 0.759 0.658 0.726
0.7 1.0 0.349 0.551 0.613 0.645 0.767 0.648 0.724
0.8 1.0 0.335 0.547 0.602 0.654 0.768 0.652 0.733
0.9 1.0 0.32 0.521 0.588 0.663 0.756 0.668 0.723
1 1.0 0.336 0.511 0.588 0.669 0.768 0.678 0.725
