uniform OFF GRD HG BAT RCP SAM1 STH COL1 CTH
2 1.0 0.795 0.545 0.479 0.297 0.79 0.815 0.78 0.803
4 1.0 0.706 0.486 0.475 0.234 0.744 0.785 0.736 0.755
6 1.0 0.643 0.408 0.517 0.255 0.703 0.742 0.706 0.739
8 1.0 0.623 0.367 0.508 0.282 0.64 0.692 0.635 0.673
10 1.0 0.586 0.375 0.53 0.234 0.707 0.762 0.696 0.752
12 1.0 0.591 0.348 0.519 0.255 0.615 0.735 0.623 0.727
14 1.0 0.591 0.348 0.519 0.255 0.615 0.735 0.623 0.727
16 1.0 0.563 0.33 0.506 0.237 0.64 0.761 0.656 0.76
18 1.0 0.554 0.322 0.51 0.215 0.607 0.782 0.613 0.776
20 1.0 0.545 0.326 0.524 0.231 0.586 0.774 0.597 0.767
